tournament,match_stage,home_team,away_team,home_score,away_score,extra_time_home_score,extra_time_away_score,penalties_home_score,penalties_away_score
FIFA World Cup 2014,Group A,Brazil,Croatia,3,1,0,0,,
FIFA World Cup 2014,Group A,Mexico,Cameroon,1,0,0,0,,
FIFA World Cup 2014,Group A,Brazil,Mexico,0,0,0,0,,
FIFA World Cup 2014,Group A,Cameroon,Croatia,0,4,0,0,,
FIFA World Cup 2014,Group A,Cameroon,Brazil,1,4,0,0,,
FIFA World Cup 2014,Group A,Croatia,Mexico,1,3,0,0,,
FIFA World Cup 2014,Group B,Spain,Netherlands,1,5,0,0,,
FIFA World Cup 2014,Group B,Chile,Australia,3,1,0,0,,
FIFA World Cup 2014,Group B,Australia,Netherlands,2,3,0,0,,
FIFA World Cup 2014,Group B,Spain,Chile,0,2,0,0,,
FIFA World Cup 2014,Group B,Australia,Spain,0,3,0,0,,
FIFA World Cup 2014,Group B,Netherlands,Chile,2,0,0,0,,
FIFA World Cup 2014,Group C,Colombia,Greece,3,0,0,0,,
FIFA World Cup 2014,Group C,Ivory Coast,Japan,2,1,0,0,,
FIFA World Cup 2014,Group C,Colombia,Ivory Coast,2,1,0,0,,
FIFA World Cup 2014,Group C,Japan,Greece,0,0,0,0,,
FIFA World Cup 2014,Group C,Japan,Colombia,1,4,0,0,,
FIFA World Cup 2014,Group C,Greece,Ivory Coast,2,1,0,0,,
FIFA World Cup 2014,Group D,Uruguay,Costa Rica,1,3,0,0,,
FIFA World Cup 2014,Group D,England,Italy,1,2,0,0,,
FIFA World Cup 2014,Group D,Uruguay,England,2,1,0,0,,
FIFA World Cup 2014,Group D,Italy,Costa Rica,0,1,0,0,,
FIFA World Cup 2014,Group D,Italy,Uruguay,0,1,0,0,,
FIFA World Cup 2014,Group D,Costa Rica,England,0,0,0,0,,
FIFA World Cup 2014,Group E,Switzerland,Ecuador,2,1,0,0,,
FIFA World Cup 2014,Group E,France,Honduras,3,0,0,0,,
FIFA World Cup 2014,Group E,Switzerland,France,2,5,0,0,,
FIFA World Cup 2014,Group E,Honduras,Ecuador,1,2,0,0,,
FIFA World Cup 2014,Group E,Honduras,Switzerland,0,3,0,0,,
FIFA World Cup 2014,Group E,Ecuador,France,0,0,0,0,,
FIFA World Cup 2014,Group F,Argentina,Bosnia and Herzegovina,2,1,0,0,,
FIFA World Cup 2014,Group F,Iran,Nigeria,0,0,0,0,,
FIFA World Cup 2014,Group F,Argentina,Iran,1,0,0,0,,
FIFA World Cup 2014,Group F,Nigeria,Bosnia and Herzegovina,1,0,0,0,,
FIFA World Cup 2014,Group F,Nigeria,Argentina,2,3,0,0,,
FIFA World Cup 2014,Group F,Bosnia and Herzegovina,Iran,3,1,0,0,,
FIFA World Cup 2014,Group G,Germany,Portugal,4,0,0,0,,
FIFA World Cup 2014,Group G,Ghana,USA,1,2,0,0,,
FIFA World Cup 2014,Group G,Germany,Ghana,2,2,0,0,,
FIFA World Cup 2014,Group G,USA,Portugal,2,2,0,0,,
FIFA World Cup 2014,Group G,USA,Germany,0,1,0,0,,
FIFA World Cup 2014,Group G,Portugal,Ghana,2,1,0,0,,
FIFA World Cup 2014,Group H,Belgium,Algeria,2,1,0,0,,
FIFA World Cup 2014,Group H,Russia,South Korea,1,1,0,0,,
FIFA World Cup 2014,Group H,Belgium,Russia,1,0,0,0,,
FIFA World Cup 2014,Group H,South Korea,Algeria,2,4,0,0,,
FIFA World Cup 2014,Group H,South Korea,Belgium,0,1,0,0,,
FIFA World Cup 2014,Group H,Algeria,Russia,1,1,0,0,,
FIFA World Cup 2014,Round of 16,Brazil,Chile,1,1,0,0,3,2
FIFA World Cup 2014,Round of 16,Colombia,Uruguay,2,0,0,0,,
FIFA World Cup 2014,Round of 16,France,Nigeria,2,0,0,0,,
FIFA World Cup 2014,Round of 16,Germany,Algeria,0,0,2,1,,
FIFA World Cup 2014,Round of 16,Netherlands,Mexico,2,1,0,0,,
FIFA World Cup 2014,Round of 16,Costa Rica,Greece,1,1,0,0,5,3
FIFA World Cup 2014,Round of 16,Argentina,Switzerland,0,0,1,0,,
FIFA World Cup 2014,Round of 16,Belgium,USA,2,2,1,1,,
FIFA World Cup 2014,Quarter-final,France,Germany,0,1,0,0,,
FIFA World Cup 2014,Quarter-final,Brazil,Colombia,2,1,0,0,,
FIFA World Cup 2014,Quarter-final,Argentina,Belgium,1,0,0,0,,
FIFA World Cup 2014,Quarter-final,Netherlands,Costa Rica,0,0,0,0,4,3
FIFA World Cup 2014,Semi-final,Brazil,Germany,1,7,0,0,,
FIFA World Cup 2014,Semi-final,Netherlands,Argentina,0,0,0,0,2,4
FIFA World Cup 2014,Third place play-off,Brazil,Netherlands,0,3,0,0,,
FIFA World Cup 2014,Final,Germany,Argentina,0,0,1,0,,
