tournament,match_stage,home_team,away_team,home_score,away_score,extra_time_home_score,extra_time_away_score,penalties_home_score,penalties_away_score
FIFA World Cup 2018,Group A,Russia,Saudi Arabia,5,0,0,0,,
FIFA World Cup 2018,Group A,Egypt,Uruguay,0,1,0,0,,
FIFA World Cup 2018,Group A,Russia,Egypt,3,1,0,0,,
FIFA World Cup 2018,Group A,Uruguay,Saudi Arabia,1,0,0,0,,
FIFA World Cup 2018,Group A,Uruguay,Russia,3,0,0,0,,
FIFA World Cup 2018,Group A,Saudi Arabia,Egypt,2,1,0,0,,
FIFA World Cup 2018,Group B,Morocco,Iran,0,1,0,0,,
FIFA World Cup 2018,Group B,Portugal,Spain,3,3,0,0,,
FIFA World Cup 2018,Group B,Portugal,Morocco,1,0,0,0,,
FIFA World Cup 2018,Group B,Iran,Spain,0,1,0,0,,
FIFA World Cup 2018,Group B,Iran,Portugal,1,1,0,0,,
FIFA World Cup 2018,Group B,Spain,Morocco,2,2,0,0,,
FIFA World Cup 2018,Group C,France,Australia,2,1,0,0,,
FIFA World Cup 2018,Group C,Peru,Denmark,0,1,0,0,,
FIFA World Cup 2018,Group C,Denmark,Australia,1,1,0,0,,
FIFA World Cup 2018,Group C,France,Peru,1,0,0,0,,
FIFA World Cup 2018,Group C,Denmark,France,0,0,0,0,,
FIFA World Cup 2018,Group C,Australia,Peru,0,2,0,0,,
FIFA World Cup 2018,Group D,Argentina,Iceland,1,1,0,0,,
FIFA World Cup 2018,Group D,Croatia,Nigeria,2,0,0,0,,
FIFA World Cup 2018,Group D,Argentina,Croatia,0,3,0,0,,
FIFA World Cup 2018,Group D,Nigeria,Iceland,2,0,0,0,,
FIFA World Cup 2018,Group D,Nigeria,Argentina,1,2,0,0,,
FIFA World Cup 2018,Group D,Iceland,Croatia,1,2,0,0,,
FIFA World Cup 2018,Group E,Costa Rica,Serbia,0,1,0,0,,
FIFA World Cup 2018,Group E,Brazil,Switzerland,1,1,0,0,,
FIFA World Cup 2018,Group E,Brazil,Costa Rica,2,0,0,0,,
FIFA World Cup 2018,Group E,Serbia,Switzerland,1,2,0,0,,
FIFA World Cup 2018,Group E,Serbia,Brazil,0,2,0,0,,
FIFA World Cup 2018,Group E,Switzerland,Costa Rica,2,2,0,0,,
FIFA World Cup 2018,Group F,Germany,Mexico,0,1,0,0,,
FIFA World Cup 2018,Group F,Sweden,South Korea,1,0,0,0,,
FIFA World Cup 2018,Group F,South Korea,Mexico,1,2,0,0,,
FIFA World Cup 2018,Group F,Germany,Sweden,2,1,0,0,,
FIFA World Cup 2018,Group F,South Korea,Germany,2,0,0,0,,
FIFA World Cup 2018,Group F,Mexico,Sweden,0,3,0,0,,
FIFA World Cup 2018,Group G,Belgium,Panama,3,0,0,0,,
FIFA World Cup 2018,Group G,Tunisia,England,1,2,0,0,,
FIFA World Cup 2018,Group G,Belgium,Tunisia,5,2,0,0,,
FIFA World Cup 2018,Group G,England,Panama,6,1,0,0,,
FIFA World Cup 2018,Group G,England,Belgium,0,1,0,0,,
FIFA World Cup 2018,Group G,Panama,Tunisia,1,2,0,0,,
FIFA World Cup 2018,Group H,Colombia,Japan,1,2,0,0,,
FIFA World Cup 2018,Group H,Poland,Senegal,1,2,0,0,,
FIFA World Cup 2018,Group H,Japan,Senegal,2,2,0,0,,
FIFA World Cup 2018,Group H,Poland,Colombia,0,3,0,0,,
FIFA World Cup 2018,Group H,Japan,Poland,0,1,0,0,,
FIFA World Cup 2018,Group H,Senegal,Colombia,0,1,0,0,,
FIFA World Cup 2018,Round of 16,France,Argentina,4,3,0,0,,
FIFA World Cup 2018,Round of 16,Uruguay,Portugal,2,1,0,0,,
FIFA World Cup 2018,Round of 16,Spain,Russia,1,1,0,0,3,4
FIFA World Cup 2018,Round of 16,Croatia,Denmark,1,1,0,0,3,2
FIFA World Cup 2018,Round of 16,Brazil,Mexico,2,0,0,0,,
FIFA World Cup 2018,Round of 16,Belgium,Japan,3,2,0,0,,
FIFA World Cup 2018,Round of 16,Sweden,Switzerland,1,0,0,0,,
FIFA World Cup 2018,Round of 16,Colombia,England,1,1,0,0,3,4
FIFA World Cup 2018,Quarter-final,Uruguay,France,0,2,0,0,,
FIFA World Cup 2018,Quarter-final,Brazil,Belgium,1,2,0,0,,
FIFA World Cup 2018,Quarter-final,Sweden,England,0,2,0,0,,
FIFA World Cup 2018,Quarter-final,Russia,Croatia,2,2,0,0,3,4
FIFA World Cup 2018,Semi-final,France,Belgium,1,0,0,0,,
FIFA World Cup 2018,Semi-final,Croatia,England,1,1,1,0,,
FIFA World Cup 2018,Third place play-off,Belgium,England,2,0,0,0,,
FIFA World Cup 2018,Final,France,Croatia,4,2,0,0,,
