tournament,match_stage,home_team,away_team,home_score,away_score,extra_time_home_score,extra_time_away_score,penalties_home_score,penalties_away_score
Copa América 2015,Group A,Chile,Ecuador,2,0,0,0,,
Copa América 2015,Group A,Mexico,Bolivia,0,0,0,0,,
Copa América 2015,Group A,Ecuador,Bolivia,2,3,0,0,,
Copa América 2015,Group A,Chile,Mexico,3,3,0,0,,
Copa América 2015,Group A,Mexico,Ecuador,1,2,0,0,,
Copa América 2015,Group A,Chile,Bolivia,5,0,0,0,,
Copa América 2015,Group B,Uruguay,Jamaica,1,0,0,0,,
Copa América 2015,Group B,Argentina,Paraguay,2,2,0,0,,
Copa América 2015,Group B,Paraguay,Jamaica,1,0,0,0,,
Copa América 2015,Group B,Argentina,Uruguay,1,0,0,0,,
Copa América 2015,Group B,Uruguay,Paraguay,1,1,0,0,,
Copa América 2015,Group B,Argentina,Jamaica,1,0,0,0,,
Copa América 2015,Group C,Colombia,Venezuela,0,1,0,0,,
Copa América 2015,Group C,Brazil,Peru,2,1,0,0,,
Copa América 2015,Group C,Brazil,Colombia,0,1,0,0,,
Copa América 2015,Group C,Peru,Venezuela,1,0,0,0,,
Copa América 2015,Group C,Colombia,Peru,0,0,0,0,,
Copa América 2015,Group C,Brazil,Venezuela,2,1,0,0,,
Copa América 2015,Quarter-final,Chile,Uruguay,1,0,0,0,,
Copa América 2015,Quarter-final,Bolivia,Peru,1,3,0,0,,
Copa América 2015,Quarter-final,Argentina,Colombia,0,0,0,0,5,4
Copa América 2015,Quarter-final,Brazil,Paraguay,1,1,0,0,3,4
Copa América 2015,Semi-final,Chile,Peru,2,1,0,0,,
Copa América 2015,Semi-final,Argentina,Paraguay,6,1,0,0,,
Copa América 2015,Third place play-off,Peru,Paraguay,2,0,0,0,,
Copa América 2015,Final,Chile,Argentina,0,0,0,0,4,1
