tournament,match_stage,home_team,away_team,home_score,away_score,extra_time_home_score,extra_time_away_score,penalties_home_score,penalties_away_score
Copa América 2024,Group A,Argentina,Canada,2,0,0,0,,
Copa América 2024,Group A,Peru,Chile,0,0,0,0,,
Copa América 2024,Group A,Peru,Canada,0,1,0,0,,
Copa América 2024,Group A,Chile,Argentina,0,1,0,0,,
Copa América 2024,Group A,Argentina,Peru,2,0,0,0,,
Copa América 2024,Group A,Canada,Chile,0,0,0,0,,
Copa América 2024,Group B,Ecuador,Venezuela,1,2,0,0,,
Copa América 2024,Group B,Mexico,Jamaica,1,0,0,0,,
Copa América 2024,Group B,Ecuador,Jamaica,3,1,0,0,,
Copa América 2024,Group B,Venezuela,Mexico,1,0,0,0,,
Copa América 2024,Group B,Jamaica,Venezuela,0,3,0,0,,
Copa América 2024,Group B,Mexico,Ecuador,0,0,0,0,,
Copa América 2024,Group C,United States,Bolivia,2,0,0,0,,
Copa América 2024,Group C,Uruguay,Panama,3,1,0,0,,
Copa América 2024,Group C,Panama,United States,2,1,0,0,,
Copa América 2024,Group C,Uruguay,Bolivia,5,0,0,0,,
Copa América 2024,Group C,Bolivia,Panama,1,3,0,0,,
Copa América 2024,Group C,United States,Uruguay,0,1,0,0,,
Copa América 2024,Group D,Colombia,Paraguay,2,1,0,0,,
Copa América 2024,Group D,Brazil,Costa Rica,0,0,0,0,,
Copa América 2024,Group D,Colombia,Costa Rica,3,0,0,0,,
Copa América 2024,Group D,Paraguay,Brazil,1,4,0,0,,
Copa América 2024,Group D,Brazil,Colombia,1,1,0,0,,
Copa América 2024,Group D,Costa Rica,Paraguay,2,1,0,0,,
Copa América 2024,Quarter-final,Argentina,Ecuador,1,1,0,0,4,2
Copa América 2024,Quarter-final,Venezuela,Canada,1,1,0,0,3,4
Copa América 2024,Quarter-final,Uruguay,Brazil,0,0,0,0,4,2
Copa América 2024,Quarter-final,Colombia,Panama,5,0,0,0,,
Copa América 2024,Semi-final,Argentina,Canada,2,0,0,0,,
Copa América 2024,Semi-final,Uruguay,Colombia,0,1,0,0,,
Copa América 2024,Third place play-off,Canada,Uruguay,2,2,0,0,3,4
Copa América 2024,Final,Argentina,Colombia,0,0,1,0,,
