tournament,match_stage,home_team,away_team,home_score,away_score,extra_time_home_score,extra_time_away_score,penalties_home_score,penalties_away_score
AFC Asian Cup 2015,Group Stage,Australia,Kuwait,4,1,,,,
AFC Asian Cup 2015,Group Stage,South Korea,Oman,1,1,,,,
AFC Asian Cup 2015,Group Stage,Australia,Oman,4,0,,,,
AFC Asian Cup 2015,Group Stage,South Korea,Kuwait,1,0,,,,
AFC Asian Cup 2015,Group Stage,Australia,South Korea,2,1,,,,
AFC Asian Cup 2015,Group Stage,Kuwait,Oman,1,1,,,,
AFC Asian Cup 2015,Group Stage,China PR,Saudi Arabia,1,0,,,,
AFC Asian Cup 2015,Group Stage,North Korea,Uzbekistan,0,1,,,,
AFC Asian Cup 2015,Group Stage,China PR,North Korea,2,1,,,,
AFC Asian Cup 2015,Group Stage,Saudi Arabia,Uzbekistan,0,1,,,,
AFC Asian Cup 2015,Group Stage,China PR,Uzbekistan,0,0,,,,
AFC Asian Cup 2015,Group Stage,Saudi Arabia,North Korea,3,1,,,,
AFC Asian Cup 2015,Group Stage,Japan,Iraq,1,0,,,,
AFC Asian Cup 2015,Group Stage,Jordan,Palestine,5,1,,,,
AFC Asian Cup 2015,Group Stage,Japan,Jordan,2,0,,,,
AFC Asian Cup 2015,Group Stage,Iraq,Palestine,0,0,,,,
AFC Asian Cup 2015,Group Stage,Japan,Palestine,4,0,,,,
AFC Asian Cup 2015,Group Stage,Iraq,Jordan,0,1,,,,
AFC Asian Cup 2015,Group Stage,United Arab Emirates,Qatar,4,1,,,,
AFC Asian Cup 2015,Group Stage,Iran,Bahrain,2,0,,,,
AFC Asian Cup 2015,Group Stage,United Arab Emirates,Iran,1,0,,,,
AFC Asian Cup 2015,Group Stage,Qatar,Bahrain,1,2,,,,
AFC Asian Cup 2015,Group Stage,United Arab Emirates,Bahrain,3,2,,,,
AFC Asian Cup 2015,Group Stage,Qatar,Iran,1,2,,,,
AFC Asian Cup 2015,Quarterfinal,Australia,China PR,2,0,,,,
AFC Asian Cup 2015,Quarterfinal,South Korea,Uzbekistan,2,0,,,,
AFC Asian Cup 2015,Quarterfinal,Japan,Jordan,2,0,,,,
AFC Asian Cup 2015,Quarterfinal,United Arab Emirates,Iran,2,1,,,,
AFC Asian Cup 2015,Semifinal,Australia,United Arab Emirates,2,0,,,,
AFC Asian Cup 2015,Semifinal,Japan,South Korea,2,0,,,,
AFC Asian Cup 2015,Final,Japan,Australia,2,1,,,,
