tournament,match_stage,home_team,away_team,home_score,away_score,extra_time_home_score,extra_time_away_score,penalties_home_score,penalties_away_score
AFC Asian Cup 2023,Group Stage,Qatar,Tajikistan,2,0,,,,
AFC Asian Cup 2023,Group Stage,Lebanon,Malaysia,1,1,,,,
AFC Asian Cup 2023,Group Stage,Qatar,Lebanon,2,0,,,,
AFC Asian Cup 2023,Group Stage,Tajikistan,Malaysia,1,1,,,,
AFC Asian Cup 2023,Group Stage,Qatar,Malaysia,2,1,,,,
AFC Asian Cup 2023,Group Stage,Tajikistan,Lebanon,1,2,,,,
AFC Asian Cup 2023,Group Stage,Australia,Uzbekistan,1,1,,,,
AFC Asian Cup 2023,Group Stage,Palestine,Syria,3,0,,,,
AFC Asian Cup 2023,Group Stage,Australia,Palestine,3,0,,,,
AFC Asian Cup 2023,Group Stage,Uzbekistan,Syria,1,2,,,,
AFC Asian Cup 2023,Group Stage,Australia,Syria,2,1,,,,
AFC Asian Cup 2023,Group Stage,Uzbekistan,Palestine,1,0,,,,
AFC Asian Cup 2023,Group Stage,Iran,United Arab Emirates,2,1,,,,
AFC Asian Cup 2023,Group Stage,Iraq,Vietnam,2,1,,,,
AFC Asian Cup 2023,Group Stage,Iran,Iraq,1,0,,,,
AFC Asian Cup 2023,Group Stage,United Arab Emirates,Vietnam,1,1,,,,
AFC Asian Cup 2023,Group Stage,Iran,Vietnam,2,0,,,,
AFC Asian Cup 2023,Group Stage,United Arab Emirates,Iraq,0,1,,,,
AFC Asian Cup 2023,Group Stage,Japan,Indonesia,4,2,,,,
AFC Asian Cup 2023,Group Stage,Saudi Arabia,Thailand,2,1,,,,
AFC Asian Cup 2023,Group Stage,Japan,Saudi Arabia,3,0,,,,
AFC Asian Cup 2023,Group Stage,Indonesia,Thailand,1,2,,,,
AFC Asian Cup 2023,Group Stage,Japan,Thailand,2,1,,,,
AFC Asian Cup 2023,Group Stage,Saudi Arabia,Indonesia,3,0,,,,
AFC Asian Cup 2023,Group Stage,South Korea,Malaysia,3,0,,,,
AFC Asian Cup 2023,Group Stage,Lebanon,Vietnam,0,2,,,,
AFC Asian Cup 2023,Group Stage,South Korea,Vietnam,2,1,,,,
AFC Asian Cup 2023,Group Stage,Malaysia,Lebanon,1,1,,,,
AFC Asian Cup 2023,Group Stage,South Korea,Lebanon,3,0,,,,
AFC Asian Cup 2023,Group Stage,Vietnam,Malaysia,2,0,,,,
AFC Asian Cup 2023,Group Stage,Japan,Iran,2,0,,,,
AFC Asian Cup 2023,Group Stage,United Arab Emirates,Iraq,0,1,,,,
AFC Asian Cup 2023,Group Stage,Japan,United Arab Emirates,3,0,,,,
AFC Asian Cup 2023,Group Stage,Iran,Iraq,2,2,,,,
AFC Asian Cup 2023,Group Stage,Japan,Iraq,1,1,,,,
AFC Asian Cup 2023,Group Stage,United Arab Emirates,Iran,1,2,,,,
AFC Asian Cup 2023,Round of 16,Qatar,Tajikistan,1,0,,,,
AFC Asian Cup 2023,Round of 16,South Korea,Australia,2,1,1,0,
AFC Asian Cup 2023,Round of 16,Japan,Iran,2,3,,,,
AFC Asian Cup 2023,Round of 16,Iraq,United Arab Emirates,1,0,,,,
AFC Asian Cup 2023,Round of 16,Saudi Arabia,Vietnam,2,0,,,,
AFC Asian Cup 2023,Round of 16,Thailand,Indonesia,1,1,,,4,3
AFC Asian Cup 2023,Round of 16,Palestine,Malaysia,2,1,,,,
AFC Asian Cup 2023,Round of 16,Syria,Lebanon,1,0,,,,
AFC Asian Cup 2023,Quarterfinal,Qatar,Iraq,2,1,,,,
AFC Asian Cup 2023,Quarterfinal,South Korea,Saudi Arabia,1,0,,,,
AFC Asian Cup 2023,Quarterfinal,Thailand,Palestine,1,0,,,,
AFC Asian Cup 2023,Quarterfinal,Indonesia,Syria,2,1,,,,
AFC Asian Cup 2023,Semifinal,Qatar,South Korea,3,2,,,,
AFC Asian Cup 2023,Semifinal,Thailand,Indonesia,1,1,,,3,4
AFC Asian Cup 2023,Final,Qatar,Jordan,3,1,,,,
