tournament,match_stage,home_team,away_team,home_score,away_score,extra_time_home_score,extra_time_away_score,penalties_home_score,penalties_away_score
AFC Asian Cup 2007,Group Stage,Vietnam,United Arab Emirates,0,2,,,,
AFC Asian Cup 2007,Group Stage,Qatar,Iran,0,1,,,,
AFC Asian Cup 2007,Group Stage,Vietnam,Qatar,2,0,,,,
AFC Asian Cup 2007,Group Stage,United Arab Emirates,Iran,2,1,,,,
AFC Asian Cup 2007,Group Stage,Vietnam,Iran,0,2,,,,
AFC Asian Cup 2007,Group Stage,United Arab Emirates,Qatar,1,1,,,,
AFC Asian Cup 2007,Group Stage,Thailand,Iraq,1,1,,,,
AFC Asian Cup 2007,Group Stage,Uzbekistan,Saudi Arabia,2,2,,,,
AFC Asian Cup 2007,Group Stage,Thailand,Uzbekistan,1,2,,,,
AFC Asian Cup 2007,Group Stage,Iraq,Saudi Arabia,1,0,,,,
AFC Asian Cup 2007,Group Stage,Thailand,Saudi Arabia,0,2,,,,
AFC Asian Cup 2007,Group Stage,Iraq,Uzbekistan,2,0,,,,
AFC Asian Cup 2007,Group Stage,Japan,Oman,1,1,,,,
AFC Asian Cup 2007,Group Stage,Thailand,Indonesia,3,1,,,,
AFC Asian Cup 2007,Group Stage,Japan,Thailand,3,1,,,,
AFC Asian Cup 2007,Group Stage,Oman,Indonesia,2,1,,,,
AFC Asian Cup 2007,Group Stage,Japan,Indonesia,5,0,,,,
AFC Asian Cup 2007,Group Stage,Oman,Thailand,1,0,,,,
AFC Asian Cup 2007,Group Stage,South Korea,China PR,2,0,,,,
AFC Asian Cup 2007,Group Stage,Saudi Arabia,Malaysia,5,0,,,,
AFC Asian Cup 2007,Group Stage,South Korea,Saudi Arabia,0,1,,,,
AFC Asian Cup 2007,Group Stage,China PR,Malaysia,5,1,,,,
AFC Asian Cup 2007,Group Stage,South Korea,Malaysia,5,1,,,,
AFC Asian Cup 2007,Group Stage,China PR,Saudi Arabia,0,0,,,,
AFC Asian Cup 2007,Quarterfinal,Vietnam,Thailand,2,0,,,,
AFC Asian Cup 2007,Quarterfinal,Japan,Uzbekistan,3,1,,,,
AFC Asian Cup 2007,Quarterfinal,South Korea,Iran,4,2,,,,
AFC Asian Cup 2007,Quarterfinal,Saudi Arabia,Iraq,0,1,,,,
AFC Asian Cup 2007,Semifinal,Japan,South Korea,3,2,,,,
AFC Asian Cup 2007,Semifinal,Vietnam,Iraq,1,1,1,0,
AFC Asian Cup 2007,Final,Japan,Saudi Arabia,1,0,,,,
