tournament,match_stage,home_team,away_team,home_score,away_score,extra_time_home_score,extra_time_away_score,penalties_home_score,penalties_away_score
AFC Asian Cup 2011,Group Stage,Qatar,Korea Republic,0,2,,,,
AFC Asian Cup 2011,Group Stage,Uzbekistan,Kuwait,2,0,,,,
AFC Asian Cup 2011,Group Stage,Qatar,Uzbekistan,2,1,,,,
AFC Asian Cup 2011,Group Stage,Kuwait,Korea Republic,0,3,,,,
AFC Asian Cup 2011,Group Stage,Qatar,Kuwait,2,0,,,,
AFC Asian Cup 2011,Group Stage,Uzbekistan,Korea Republic,1,1,,,,
AFC Asian Cup 2011,Group Stage,Japan,Jordan,2,1,,,,
AFC Asian Cup 2011,Group Stage,Syria,Saudi Arabia,2,1,,,,
AFC Asian Cup 2011,Group Stage,Japan,Syria,2,1,,,,
AFC Asian Cup 2011,Group Stage,Jordan,Saudi Arabia,1,0,,,,
AFC Asian Cup 2011,Group Stage,Japan,Saudi Arabia,5,0,,,,
AFC Asian Cup 2011,Group Stage,Jordan,Syria,2,1,,,,
AFC Asian Cup 2011,Group Stage,Australia,India,4,0,,,,
AFC Asian Cup 2011,Group Stage,Bahrain,South Korea,2,3,,,,
AFC Asian Cup 2011,Group Stage,Australia,Bahrain,1,1,,,,
AFC Asian Cup 2011,Group Stage,India,South Korea,1,4,,,,
AFC Asian Cup 2011,Group Stage,Australia,South Korea,1,0,,,,
AFC Asian Cup 2011,Group Stage,Bahrain,India,5,2,,,,
AFC Asian Cup 2011,Group Stage,Iran,United Arab Emirates,2,1,,,,
AFC Asian Cup 2011,Group Stage,Iraq,Jordan,1,0,,,,
AFC Asian Cup 2011,Group Stage,Iran,Iraq,1,0,,,,
AFC Asian Cup 2011,Group Stage,United Arab Emirates,Jordan,1,2,,,,
AFC Asian Cup 2011,Group Stage,Iran,Jordan,2,0,,,,
AFC Asian Cup 2011,Group Stage,United Arab Emirates,Iraq,1,0,,,,
AFC Asian Cup 2011,Quarterfinal,Qatar,Iraq,0,2,,,,
AFC Asian Cup 2011,Quarterfinal,Japan,South Korea,3,2,,,,
AFC Asian Cup 2011,Quarterfinal,Australia,Jordan,1,0,,,,
AFC Asian Cup 2011,Quarterfinal,Iran,Bahrain,3,2,,,,
AFC Asian Cup 2011,Semifinal,Japan,Australia,3,0,,,,
AFC Asian Cup 2011,Semifinal,Iraq,Iran,2,1,,,,
AFC Asian Cup 2011,Final,Japan,Australia,1,0,,,,
