tournament,match_stage,home_team,away_team,home_score,away_score,extra_time_home_score,extra_time_away_score,penalties_home_score,penalties_away_score
UEFA Euro 2016,Group A,France,Romania,2,1,0,0,,
UEFA Euro 2016,Group A,Albania,Switzerland,0,1,0,0,,
UEFA Euro 2016,Group A,Romania,Switzerland,1,1,0,0,,
UEFA Euro 2016,Group A,France,Albania,2,0,0,0,,
UEFA Euro 2016,Group A,Switzerland,France,0,0,0,0,,
UEFA Euro 2016,Group A,Romania,Albania,0,1,0,0,,
UEFA Euro 2016,Group B,Wales,Slovakia,2,1,0,0,,
UEFA Euro 2016,Group B,England,Russia,1,1,0,0,,
UEFA Euro 2016,Group B,Russia,Slovakia,1,2,0,0,,
UEFA Euro 2016,Group B,England,Wales,2,1,0,0,,
UEFA Euro 2016,Group B,Russia,Wales,0,3,0,0,,
UEFA Euro 2016,Group B,Slovakia,England,0,0,0,0,,
UEFA Euro 2016,Group C,Poland,Northern Ireland,1,0,0,0,,
UEFA Euro 2016,Group C,Germany,Ukraine,2,0,0,0,,
UEFA Euro 2016,Group C,Ukraine,Northern Ireland,0,2,0,0,,
UEFA Euro 2016,Group C,Germany,Poland,0,0,0,0,,
UEFA Euro 2016,Group C,Ukraine,Poland,0,1,0,0,,
UEFA Euro 2016,Group C,Northern Ireland,Germany,0,1,0,0,,
UEFA Euro 2016,Group D,Turkey,Croatia,0,1,0,0,,
UEFA Euro 2016,Group D,Spain,Czech Republic,1,0,0,0,,
UEFA Euro 2016,Group D,Czech Republic,Croatia,2,2,0,0,,
UEFA Euro 2016,Group D,Spain,Turkey,3,0,0,0,,
UEFA Euro 2016,Group D,Croatia,Spain,2,1,0,0,,
UEFA Euro 2016,Group D,Czech Republic,Turkey,0,2,0,0,,
UEFA Euro 2016,Group E,Ireland,Sweden,1,1,0,0,,
UEFA Euro 2016,Group E,Belgium,Italy,0,2,0,0,,
UEFA Euro 2016,Group E,Italy,Sweden,1,0,0,0,,
UEFA Euro 2016,Group E,Belgium,Ireland,3,0,0,0,,
UEFA Euro 2016,Group E,Italy,Ireland,0,1,0,0,,
UEFA Euro 2016,Group E,Sweden,Belgium,0,1,0,0,,
UEFA Euro 2016,Group F,Austria,Hungary,0,2,0,0,,
UEFA Euro 2016,Group F,Portugal,Iceland,1,1,0,0,,
UEFA Euro 2016,Group F,Iceland,Hungary,1,1,0,0,,
UEFA Euro 2016,Group F,Portugal,Austria,0,0,0,0,,
UEFA Euro 2016,Group F,Hungary,Portugal,3,3,0,0,,
UEFA Euro 2016,Group F,Iceland,Austria,2,1,0,0,,
UEFA Euro 2016,Round of 16,Switzerland,Poland,1,1,0,0,4,5
UEFA Euro 2016,Round of 16,Wales,Northern Ireland,1,0,0,0,,
UEFA Euro 2016,Round of 16,Croatia,Portugal,0,0,0,1,,
UEFA Euro 2016,Round of 16,France,Ireland,2,1,0,0,,
UEFA Euro 2016,Round of 16,Germany,Slovakia,3,0,0,0,,
UEFA Euro 2016,Round of 16,Hungary,Belgium,0,4,0,0,,
UEFA Euro 2016,Round of 16,Italy,Spain,2,0,0,0,,
UEFA Euro 2016,Round of 16,England,Iceland,1,2,0,0,,
UEFA Euro 2016,Quarter-final,Poland,Portugal,1,1,0,0,3,5
UEFA Euro 2016,Quarter-final,Wales,Belgium,3,1,0,0,,
UEFA Euro 2016,Quarter-final,Germany,Italy,1,1,0,0,6,5
UEFA Euro 2016,Quarter-final,France,Iceland,5,2,0,0,,
UEFA Euro 2016,Semi-final,Portugal,Wales,2,0,0,0,,
UEFA Euro 2016,Semi-final,Germany,France,0,2,0,0,,
UEFA Euro 2016,Final,Portugal,France,0,0,1,0,,
