tournament,match_stage,home_team,away_team,home_score,away_score,extra_time_home_score,extra_time_away_score,penalties_home_score,penalties_away_score
UEFA Euro 2000,Group A,Belgium,Sweden,2,1,0,0,,
UEFA Euro 2000,Group A,Italy,Turkey,2,1,0,0,,
UEFA Euro 2000,Group A,Sweden,Turkey,0,0,0,0,,
UEFA Euro 2000,Group A,Italy,Belgium,2,0,0,0,,
UEFA Euro 2000,Group A,Belgium,Turkey,0,2,0,0,,
UEFA Euro 2000,Group A,Italy,Sweden,2,1,0,0,,
UEFA Euro 2000,Group B,Romania,Germany,1,1,0,0,,
UEFA Euro 2000,Group B,England,Portugal,2,3,0,0,,
UEFA Euro 2000,Group B,Germany,England,1,0,0,0,,
UEFA Euro 2000,Group B,Romania,Portugal,0,1,0,0,,
UEFA Euro 2000,Group B,Portugal,Germany,3,0,0,0,,
UEFA Euro 2000,Group B,England,Romania,2,3,0,0,,
UEFA Euro 2000,Group C,Spain,Norway,0,1,0,0,,
UEFA Euro 2000,Group C,Yugoslavia,Slovenia,3,3,0,0,,
UEFA Euro 2000,Group C,Slovenia,Spain,1,2,0,0,,
UEFA Euro 2000,Group C,Norway,Yugoslavia,0,1,0,0,,
UEFA Euro 2000,Group C,Yugoslavia,Spain,3,4,0,0,,
UEFA Euro 2000,Group C,Norway,Slovenia,0,0,0,0,,
UEFA Euro 2000,Group D,Netherlands,Czech Republic,1,0,0,0,,
UEFA Euro 2000,Group D,France,Denmark,3,0,0,0,,
UEFA Euro 2000,Group D,Czech Republic,France,1,2,0,0,,
UEFA Euro 2000,Group D,Netherlands,Denmark,3,0,0,0,,
UEFA Euro 2000,Group D,Netherlands,France,3,2,0,0,,
UEFA Euro 2000,Group D,Czech Republic,Denmark,2,0,0,0,,
UEFA Euro 2000,Quarter-final,Portugal,Turkey,2,0,0,0,,
UEFA Euro 2000,Quarter-final,Italy,Romania,2,0,0,0,,
UEFA Euro 2000,Quarter-final,Netherlands,Yugoslavia,6,1,0,0,,
UEFA Euro 2000,Quarter-final,Spain,France,1,2,0,0,,
UEFA Euro 2000,Semi-final,Portugal,France,1,1,0,1,,
UEFA Euro 2000,Semi-final,Netherlands,Italy,0,0,0,0,1,3
UEFA Euro 2000,Final,France,Italy,1,1,1,0,,
