tournament,match_stage,home_team,away_team,home_score,away_score,extra_time_home_score,extra_time_away_score,penalties_home_score,penalties_away_score
UEFA Euro 2004,Group A,Portugal,Greece,1,2,0,0,,
UEFA Euro 2004,Group A,Spain,Russia,1,0,0,0,,
UEFA Euro 2004,Group A,Greece,Spain,1,1,0,0,,
UEFA Euro 2004,Group A,Russia,Portugal,0,2,0,0,,
UEFA Euro 2004,Group A,Spain,Portugal,0,1,0,0,,
UEFA Euro 2004,Group A,Russia,Greece,2,1,0,0,,
UEFA Euro 2004,Group B,Switzerland,Croatia,0,0,0,0,,
UEFA Euro 2004,Group B,France,England,2,1,0,0,,
UEFA Euro 2004,Group B,Croatia,France,2,2,0,0,,
UEFA Euro 2004,Group B,England,Switzerland,3,0,0,0,,
UEFA Euro 2004,Group B,Croatia,England,2,4,0,0,,
UEFA Euro 2004,Group B,Switzerland,France,1,3,0,0,,
UEFA Euro 2004,Group C,Bulgaria,Sweden,0,5,0,0,,
UEFA Euro 2004,Group C,Italy,Denmark,0,0,0,0,,
UEFA Euro 2004,Group C,Italy,Sweden,1,1,0,0,,
UEFA Euro 2004,Group C,Denmark,Bulgaria,2,0,0,0,,
UEFA Euro 2004,Group C,Denmark,Sweden,2,2,0,0,,
UEFA Euro 2004,Group C,Italy,Bulgaria,2,1,0,0,,
UEFA Euro 2004,Group D,Germany,Netherlands,1,1,0,0,,
UEFA Euro 2004,Group D,Czech Republic,Latvia,2,1,0,0,,
UEFA Euro 2004,Group D,Latvia,Germany,0,0,0,0,,
UEFA Euro 2004,Group D,Netherlands,Czech Republic,2,3,0,0,,
UEFA Euro 2004,Group D,Netherlands,Latvia,3,0,0,0,,
UEFA Euro 2004,Group D,Germany,Czech Republic,1,2,0,0,,
UEFA Euro 2004,Quarter-final,Portugal,England,2,2,1,0,6,5
UEFA Euro 2004,Quarter-final,France,Greece,0,1,0,0,,
UEFA Euro 2004,Quarter-final,Sweden,Netherlands,0,0,0,0,4,5
UEFA Euro 2004,Quarter-final,Czech Republic,Denmark,3,0,0,0,,
UEFA Euro 2004,Semi-final,Portugal,Netherlands,2,1,0,0,,
UEFA Euro 2004,Semi-final,Greece,Czech Republic,0,0,1,0,,
UEFA Euro 2004,Final,Portugal,Greece,0,1,0,0,,
